ID_ARTC,LB_VENT_RAYN,LB_VENT_FAML,LB_VENT_SOUS_FAML
1586,LIQUIDES,VINS SUPERIEURS ET VINS FINS,VINS SUPERIEURS ET VINS FINS - SS-FAML 6
1958,ALIMENTATION POUR ANIMAUX,ALIMENTS POUR CHATS,ALIMENTS POUR CHATS - SS-FAML 2
338,D.P.H.,PAPIERS HYGIENIQUES,PAPIERS HYGIENIQUES
231,EPICERIE SUCREE,CONFIT-COMPOTE FRUITS AU SIROP,CONFIT-COMPOTE FRUITS AU SIROP - SS-FAML 8
660,CREMERIE LS,FROMAGE LS,FROMAGE LS - SS-FAML 5
1170,CREMERIE LS,FROMAGE LS,FROMAGE LS - SS-FAML 4
1494,LIQUIDES,BOISSONS GAZEUSES ET PLATES,BOISSONS GAZEUSES ET PLATES - SS-FAML 3
24,LIQUIDES,EAUX MINERALES / SOURCES,EAUX MINERALES / SOURCES - SS-FAML 1
1424,EPICERIE SALEE,HUILES,HUILES - SS-FAML 2
42,EPICERIE SALEE,VINAIGRES,VINAIGRES - SS-FAML 1
925,EPICERIE SUCREE,CONFIT-COMPOTE FRUITS AU SIROP,CONFIT-COMPOTE FRUITS AU SIROP - SS-FAML 3
1017,LIQUIDES,BIERES ET CIDRES,BIERES ET CIDRES - SS-FAML 2
2449,EPICERIE SUCREE,DIETETIQUE,DIETETIQUE - SS-FAML 4
8,CREMERIE LS,FROMAGE LS,FROMAGE LS - SS-FAML 1
1257,CREMERIE LS,LAIT LS,LAIT LS - SS-FAML 2
1068,LIQUIDES,EAUX MINERALES / SOURCES,EAUX MINERALES / SOURCES - SS-FAML 2
357,BAZAR LEGER,VAISSELLE A JETER,VAISSELLE A JETER - SS-FAML 3
1313,PAIN PAT LS INDUS,VIENNOISERIE LS INDUS,VIENNOISERIE LS INDUS - SS-FAML 1
987,SURGELES,SURGELES SUCRE,SURGELES SUCRE - SS-FAML 5
1575,EPICERIE SALEE,HUILES,HUILES - SS-FAML 2
2104,D.P.H.,LAVAGE DU LINGE,LAVAGE DU LINGE - SS-FAML 1
2246,EPICERIE SUCREE,ALIMENTATION POUR BEBE,ALIMENTATION POUR BEBE - SS-FAML 8
2315,SURGELES,SURGELES VIANDE,SURGELES VIANDE
74,PAIN PAT LS INDUS,VIENNOISERIE LS INDUS,VIENNOISERIE LS INDUS - SS-FAML 1
1259,EPICERIE SALEE,SAUCES PATES ET RIZ / COULIS,SAUCES PATES ET RIZ / COULIS - SS-FAML 2
849,CREMERIE LS,MARGARINE/PATE A TARTINER,MARGARINE/PATE A TARTINER
1399,CHARCUTERIE TRAITEUR LS,TRAITEUR LS,TRAITEUR LS - SS-FAML 8
2356,EPICERIE SALEE,EPICES ET POIVRES,EPICES ET POIVRES - SS-FAML 3
2156,LIQUIDES,VINS SUPERIEURS ET VINS FINS,VINS SUPERIEURS ET VINS FINS - SS-FAML 13
62,CREMERIE LS,FROMAGE LS,FROMAGE LS - SS-FAML 5
1867,EPICERIE SALEE,PLATS CUISINES ET A PREPARER,PLATS CUISINES ET A PREPARER - SS-FAML 3
1070,ALIMENTATION POUR ANIMAUX,ALIMENTS POUR CHATS,ALIMENTS POUR CHATS - SS-FAML 1
2475,ALIMENTATION POUR ANIMAUX,ALIMENTS POUR OISEAUX,ALIMENTS POUR OISEAUX
1005,CHARCUTERIE TRAITEUR LS,TRAITEUR LS,TRAITEUR LS - SS-FAML 9
506,CHARCUTERIE TRAITEUR LS,CHARCUTERIE LS ET SALAISON,CHARCUTERIE LS ET SALAISON - SS-FAML 12
2149,SURGELES,SURGELES TRAITEUR,SURGELES TRAITEUR - SS-FAML 1
1859,LIQUIDES,EAUX MINERALES / SOURCES,EAUX MINERALES / SOURCES - SS-FAML 2
276,BAZAR LEGER,JOUETS,JOUETS - SS-FAML 3
2344,D.P.H.,HOMME,HOMME - SS-FAML 3
93,CHARCUTERIE TRAITEUR LS,CHARCUTERIE LS ET SALAISON,CHARCUTERIE LS ET SALAISON - SS-FAML 8
504,VOLAILLE LS,VOLAILLES LS,VOLAILLES LS - SS-FAML 2
2244,BAZAR LEGER,JOUETS,JOUETS - SS-FAML 1
508,LIQUIDES,BOISSONS GAZEUSES ET PLATES,BOISSONS GAZEUSES ET PLATES - SS-FAML 3
1825,LIQUIDES,VINS SUPERIEURS ET VINS FINS,VINS SUPERIEURS ET VINS FINS - SS-FAML 4
775,CHARCUTERIE TRAITEUR LS,TRAITEUR LS,TRAITEUR LS - SS-FAML 7
195,LIQUIDES,BIERES ET CIDRES,BIERES ET CIDRES - SS-FAML 1
415,PAIN PAT LS INDUS,VIENNOISERIE LS INDUS,VIENNOISERIE LS INDUS - SS-FAML 1
456,EPICERIE SUCREE,SUCRES,SUCRES - SS-FAML 3
107,EPICERIE SALEE,HUILES,HUILES - SS-FAML 4
2412,D.P.H.,MAQUILLAGE,MAQUILLAGE - SS-FAML 1
719,EPICERIE SUCREE,CONFIT-COMPOTE FRUITS AU SIROP,CONFIT-COMPOTE FRUITS AU SIROP - SS-FAML 8
997,CHARCUTERIE TRAITEUR LS,TRAITEUR LS,TRAITEUR LS - SS-FAML 7
887,D.P.H.,HYGIENE FEMININE,HYGIENE FEMININE - SS-FAML 1
1148,CHARCUTERIE TRAITEUR LS,TRAITEUR LS,TRAITEUR LS - SS-FAML 6
747,EPICERIE SALEE,PATES ALIMENTAIRES,PATES ALIMENTAIRES - SS-FAML 2
2450,D.P.H.,CAPILLAIRE HORS HOMME,CAPILLAIRE HORS HOMME - SS-FAML 2
2493,ALIMENTATION POUR ANIMAUX,ALIMENTS POUR CHATS,ALIMENTS POUR CHATS - SS-FAML 2
1949,EPICERIE SALEE,RIZ PUREE COUSCOUS  LEG SEC,RIZ PUREE COUSCOUS  LEG SEC - SS-FAML 3
1215,EPICERIE SALEE,CONSERVES DE POISSONS,CONSERVES DE POISSONS - SS-FAML 3
671,EPICERIE SUCREE,CHOCOLATS TABLETTE,CHOCOLATS TABLETTE - SS-FAML 2
731,CHARCUTERIE TRAITEUR LS,CHARCUTERIE LS ET SALAISON,CHARCUTERIE LS ET SALAISON - SS-FAML 5
334,FRUITS ET LEGUMES,F/L RAYON REFRIGERE,F/L RAYON REFRIGERE
688,LIQUIDES,VINS SUPERIEURS ET VINS FINS,VINS SUPERIEURS ET VINS FINS - SS-FAML 12
965,EPICERIE SALEE,PRODUITS SALES APERITIFS,PRODUITS SALES APERITIFS - SS-FAML 3
2169,BAZAR LEGER,ACCESSOIRE / GADGET DE CUISINE,ACCESSOIRE / GADGET DE CUISINE
153,CREMERIE LS,FROMAGE LS,FROMAGE LS - SS-FAML 1
1208,EPICERIE SUCREE,CONFISERIE DE SUCRE,CONFISERIE DE SUCRE - SS-FAML 3
712,EPICERIE SALEE,PRODUITS SALES APERITIFS,PRODUITS SALES APERITIFS - SS-FAML 3
2038,EPICERIE SALEE,CONSERVES DE LEGUMES,CONSERVES DE LEGUMES - SS-FAML 9
1127,CREMERIE LS,ULTRA FRAIS,ULTRA FRAIS - SS-FAML 1
2237,BAZAR LEGER,AMPOULES,AMPOULES - SS-FAML 2
1142,CHARCUTERIE TRAITEUR LS,CHARCUTERIE LS ET SALAISON,CHARCUTERIE LS ET SALAISON - SS-FAML 10
2380,LIQUIDES,APERITIF / VIN DOUX,APERITIF / VIN DOUX - SS-FAML 4
1296,D.P.H.,HYGIENE DU BEBE,HYGIENE DU BEBE - SS-FAML 2
1227,CHARCUTERIE TRAITEUR LS,TRAITEUR LS,TRAITEUR LS - SS-FAML 7
2439,BAZAR LEGER,ACCESSOIRE / GADGET DE CUISINE,ACCESSOIRE / GADGET DE CUISINE
2334,BAZAR LEGER,ECRIRE COLLER CORRIGER,ECRIRE COLLER CORRIGER - SS-FAML 5
629,FRUITS ET LEGUMES,F/L RAYON REFRIGERE,F/L RAYON REFRIGERE
655,LIQUIDES,BOISSONS GAZEUSES ET PLATES,BOISSONS GAZEUSES ET PLATES - SS-FAML 3
2322,D.P.H.,CAPILLAIRE HORS HOMME,CAPILLAIRE HORS HOMME - SS-FAML 1
1088,EPICERIE SUCREE,CEREALES ET BARRES CEREALIERES,CEREALES ET BARRES CEREALIERES - SS-FAML 2
226,EPICERIE SALEE,CHIPS,CHIPS - SS-FAML 3
1044,EPICERIE SALEE,CONDIMENTS ET SAUCES FROIDES,CONDIMENTS ET SAUCES FROIDES - SS-FAML 3
886,LIQUIDES,JUS DE FRUITS,JUS DE FRUITS - SS-FAML 3
1390,SAURISSERIE,TRAITEUR DE LA MER LS IND,TRAITEUR DE LA MER LS IND - SS-FAML 4
2208,EPICERIE SUCREE,ALIMENTATION POUR BEBE,ALIMENTATION POUR BEBE - SS-FAML 10
2099,EPICERIE SALEE,CONDIMENTS ET SAUCES FROIDES,CONDIMENTS ET SAUCES FROIDES - SS-FAML 2
1567,LIQUIDES,JUS DE FRUITS,JUS DE FRUITS - SS-FAML 1
199,CREMERIE LS,BEURRE LS,BEURRE LS
385,CHARCUTERIE TRAITEUR LS,CHARCUTERIE LS ET SALAISON,CHARCUTERIE LS ET SALAISON - SS-FAML 1
228,CREMERIE LS,OEUFS,OEUFS
745,LIQUIDES,EAUX MINERALES / SOURCES,EAUX MINERALES / SOURCES - SS-FAML 3
1200,D.P.H.,EMBALLAGES / EPONGES,EMBALLAGES / EPONGES - SS-FAML 3
677,CHARCUTERIE TRAITEUR LS,TRAITEUR LS,TRAITEUR LS - SS-FAML 5
1837,EPICERIE SALEE,CONSERVES DE POISSONS,CONSERVES DE POISSONS - SS-FAML 4
937,SURGELES,SURGELES LEGUMES,SURGELES LEGUMES - SS-FAML 3
1136,FRUITS ET LEGUMES,F/L RAYON REFRIGERE DLC COURTE,F/L RAYON REFRIGERE DLC COURTE
1057,EPICERIE SALEE,PRODUITS SALES APERITIFS,PRODUITS SALES APERITIFS - SS-FAML 2
376,EPICERIE SALEE,CONSERVES DE POISSONS,CONSERVES DE POISSONS - SS-FAML 2
188,LIQUIDES,BIERES ET CIDRES,BIERES ET CIDRES - SS-FAML 2
774,CREMERIE LS,FROMAGE LS,FROMAGE LS - SS-FAML 5
2233,EPICERIE SUCREE,AIDE PATISSERIE DESSERT,AIDE PATISSERIE DESSERT - SS-FAML 3
715,EPICERIE SUCREE,CHOCOLATS TABLETTE,CHOCOLATS TABLETTE - SS-FAML 1
1726,D.P.H.,LAVAGE DU LINGE,LAVAGE DU LINGE - SS-FAML 1
1321,EPICERIE SUCREE,CAFES / CHICOREE,CAFES / CHICOREE - SS-FAML 7
435,EPICERIE SALEE,PLATS CUISINES ET A PREPARER,PLATS CUISINES ET A PREPARER - SS-FAML 1
2486,D.P.H.,PARAPHARMACIE,PARAPHARMACIE - SS-FAML 3
1635,EPICERIE SALEE,PRODUITS SALES APERITIFS,PRODUITS SALES APERITIFS - SS-FAML 2
830,EPICERIE SALEE,PRODUITS SALES APERITIFS,PRODUITS SALES APERITIFS - SS-FAML 2
1426,CREMERIE LS,FROMAGE LS,FROMAGE LS - SS-FAML 1
1022,D.P.H.,EMBALLAGES / EPONGES,EMBALLAGES / EPONGES - SS-FAML 2
961,EPICERIE SUCREE,DEVANT DE CAISSE (DDC),DEVANT DE CAISSE (DDC) - SS-FAML 1
1041,LIQUIDES,BOISSONS GAZEUSES ET PLATES,BOISSONS GAZEUSES ET PLATES - SS-FAML 2
252,EPICERIE SALEE,CHIPS,CHIPS - SS-FAML 1
915,EPICERIE SALEE,PATES ALIMENTAIRES,PATES ALIMENTAIRES - SS-FAML 1
614,BAZAR LEGER,PAPIERS,PAPIERS - SS-FAML 2
2437,BAZAR LEGER,PEINTURES & ACCESSOIRES,PEINTURES & ACCESSOIRES - SS-FAML 1
1678,EPICERIE SALEE,PRODUITS SALES APERITIFS,PRODUITS SALES APERITIFS - SS-FAML 1
1433,EPICERIE SUCREE,CEREALES ET BARRES CEREALIERES,CEREALES ET BARRES CEREALIERES - SS-FAML 1
236,EPICERIE SALEE,CONSERVES DE POISSONS,CONSERVES DE POISSONS - SS-FAML 1
360,ALIMENTATION POUR ANIMAUX,PRODUITS POUR ANIMAUX,PRODUITS POUR ANIMAUX - SS-FAML 1
1698,EPICERIE SUCREE,CAFES / CHICOREE,CAFES / CHICOREE - SS-FAML 5
2075,D.P.H.,HYGIENE FEMININE,HYGIENE FEMININE - SS-FAML 2
833,SURGELES,SURGELES LEGUMES,SURGELES LEGUMES - SS-FAML 1
1324,CREMERIE LS,ULTRA FRAIS,ULTRA FRAIS - SS-FAML 1
1008,SURGELES,SURGELES SUCRE,SURGELES SUCRE - SS-FAML 5
1565,PAIN PAT LS INDUS,VIENNOISERIE LS INDUS,VIENNOISERIE LS INDUS - SS-FAML 1
1846,LIQUIDES,VINS SUPERIEURS ET VINS FINS,VINS SUPERIEURS ET VINS FINS - SS-FAML 15
1055,EPICERIE SUCREE,CONFISERIE DE CHOCOLAT,CONFISERIE DE CHOCOLAT - SS-FAML 1
488,CREMERIE LS,ULTRA FRAIS,ULTRA FRAIS - SS-FAML 3
1890,LIQUIDES,VINS SUPERIEURS ET VINS FINS,VINS SUPERIEURS ET VINS FINS - SS-FAML 12
405,EPICERIE SUCREE,BISCUITERIE,BISCUITERIE - SS-FAML 3
1491,D.P.H.,HYGIENE FEMININE,HYGIENE FEMININE - SS-FAML 4
1019,CREMERIE LS,CREMES UHT,CREMES UHT
1945,SURGELES,SURGELES TRAITEUR,SURGELES TRAITEUR - SS-FAML 3
2430,D.P.H.,HYGIENE CORPORELLE HORS HOMME,HYGIENE CORPORELLE HORS HOMME - SS-FAML 3
1757,EPICERIE SUCREE,BISCUITERIE,BISCUITERIE - SS-FAML 1
2431,BAZAR LEGER,EQUIPEMENT ACC AUTO,EQUIPEMENT ACC AUTO - SS-FAML 1
386,EPICERIE SALEE,CONSERVES DE LEGUMES,CONSERVES DE LEGUMES - SS-FAML 5
1011,EPICERIE SALEE,CONSERVES DE POISSONS,CONSERVES DE POISSONS - SS-FAML 3
1766,D.P.H.,ENTRETIEN,ENTRETIEN - SS-FAML 7
2462,D.P.H.,ACCESSOIRES COIFFANT/TOILETTE,ACCESSOIRES COIFFANT/TOILETTE
1641,SAURISSERIE,TRAITEUR DE LA MER LS IND,TRAITEUR DE LA MER LS IND - SS-FAML 1
1994,EPICERIE SUCREE,AIDE PATISSERIE DESSERT,AIDE PATISSERIE DESSERT - SS-FAML 1
417,D.P.H.,EMBALLAGES / EPONGES,EMBALLAGES / EPONGES - SS-FAML 3
847,SAURISSERIE,TRAITEUR DE LA MER LS IND,TRAITEUR DE LA MER LS IND - SS-FAML 1
1331,LIQUIDES,VINS SUPERIEURS ET VINS FINS,VINS SUPERIEURS ET VINS FINS - SS-FAML 14
2303,ALIMENTATION POUR ANIMAUX,PRODUITS POUR ANIMAUX,PRODUITS POUR ANIMAUX - SS-FAML 3
1485,EPICERIE SALEE,PLATS CUISINES ET A PREPARER,PLATS CUISINES ET A PREPARER - SS-FAML 4
1838,D.P.H.,EMBALLAGES / EPONGES,EMBALLAGES / EPONGES - SS-FAML 2
242,ALIMENTATION POUR ANIMAUX,ALIMENTS POUR CHATS,ALIMENTS POUR CHATS - SS-FAML 1
1944,D.P.H.,HYGIENE DU BEBE,HYGIENE DU BEBE - SS-FAML 1
1077,CREMERIE LS,FROMAGE LS,FROMAGE LS - SS-FAML 4
1596,CREMERIE LS,FROMAGE LS,FROMAGE LS - SS-FAML 1
1153,CREMERIE LS,ULTRA FRAIS,ULTRA FRAIS - SS-FAML 1
118,LIQUIDES,APERITIFS ALCOOLS,APERITIFS ALCOOLS - SS-FAML 1
1204,CREMERIE LS,FROMAGE LS,FROMAGE LS - SS-FAML 3
967,FRUITS ET LEGUMES,F/L RAYON REFRIGERE,F/L RAYON REFRIGERE
1056,LIQUIDES,EAUX MINERALES / SOURCES,EAUX MINERALES / SOURCES - SS-FAML 1
1100,EPICERIE SALEE,CONDIMENTS ET SAUCES FROIDES,CONDIMENTS ET SAUCES FROIDES - SS-FAML 4
924,CREMERIE LS,BEURRE LS,BEURRE LS
1512,EPICERIE SUCREE,CAFES / CHICOREE,CAFES / CHICOREE - SS-FAML 4
1027,LIQUIDES,BOISSONS GAZEUSES ET PLATES,BOISSONS GAZEUSES ET PLATES - SS-FAML 5
2160,EPICERIE SUCREE,AIDE PATISSERIE DESSERT,AIDE PATISSERIE DESSERT - SS-FAML 3
1961,D.P.H.,EMBALLAGES / EPONGES,EMBALLAGES / EPONGES - SS-FAML 2
220,CHARCUTERIE TRAITEUR LS,CHARCUTERIE LS ET SALAISON,CHARCUTERIE LS ET SALAISON - SS-FAML 2
1696,EPICERIE SUCREE,DEVANT DE CAISSE (DDC),DEVANT DE CAISSE (DDC) - SS-FAML 2
570,EPICERIE SUCREE,CHOCOLATS TABLETTE,CHOCOLATS TABLETTE - SS-FAML 5
2426,D.P.H.,CAPILLAIRE HORS HOMME,CAPILLAIRE HORS HOMME - SS-FAML 1
2124,BAZAR LEGER,ECRIRE COLLER CORRIGER,ECRIRE COLLER CORRIGER - SS-FAML 8
1740,LIQUIDES,BIERES ET CIDRES,BIERES ET CIDRES - SS-FAML 3
1453,LIQUIDES,EAUX MINERALES / SOURCES,EAUX MINERALES / SOURCES - SS-FAML 1
244,EPICERIE SALEE,CONSERVES DE POISSONS,CONSERVES DE POISSONS - SS-FAML 4
1306,CHARCUTERIE TRAITEUR LS,TRAITEUR LS,TRAITEUR LS - SS-FAML 8
2259,D.P.H.,ACCESSOIRES COIFFANT/TOILETTE,ACCESSOIRES COIFFANT/TOILETTE
1252,CREMERIE LS,BEURRE LS,BEURRE LS
1388,EPICERIE SUCREE,CEREALES ET BARRES CEREALIERES,CEREALES ET BARRES CEREALIERES - SS-FAML 2
1225,LIQUIDES,EAUX MINERALES / SOURCES,EAUX MINERALES / SOURCES - SS-FAML 2
1665,EPICERIE SALEE,HUILES,HUILES - SS-FAML 1
1935,SURGELES,SURGELES TRAITEUR,SURGELES TRAITEUR - SS-FAML 1
1383,LIQUIDES,JUS DE FRUITS,JUS DE FRUITS - SS-FAML 2
1922,EPICERIE SUCREE,CEREALES ET BARRES CEREALIERES,CEREALES ET BARRES CEREALIERES - SS-FAML 1
1523,D.P.H.,ENTRETIEN,ENTRETIEN - SS-FAML 7
692,EPICERIE SALEE,CHIPS,CHIPS - SS-FAML 1
265,BOUCHERIE LS,ELABORES SAUCISSERIE LS,ELABORES SAUCISSERIE LS - SS-FAML 2
2452,D.P.H.,CAPILLAIRE HORS HOMME,CAPILLAIRE HORS HOMME - SS-FAML 2
1743,LIQUIDES,JUS DE FRUITS,JUS DE FRUITS - SS-FAML 2
758,SURGELES,SURGELES LEGUMES,SURGELES LEGUMES - SS-FAML 3
592,EPICERIE SUCREE,SUCRES,SUCRES - SS-FAML 3
1926,SURGELES,SURGELES SUCRE,SURGELES SUCRE - SS-FAML 3
1595,D.P.H.,ENTRETIEN,ENTRETIEN - SS-FAML 1
373,CREMERIE LS,FROMAGE LS,FROMAGE LS - SS-FAML 3
176,D.P.H.,MOUCHOIR,MOUCHOIR
1486,CREMERIE LS,ULTRA FRAIS,ULTRA FRAIS - SS-FAML 1
2477,BAZAR LEGER,EQUIPEMENT ACC AUTO,EQUIPEMENT ACC AUTO - SS-FAML 1
2130,EPICERIE SALEE,PLATS CUISINES ET A PREPARER,PLATS CUISINES ET A PREPARER - SS-FAML 5
2413,LIQUIDES,FONTAINE A VIN,FONTAINE A VIN - SS-FAML 3
90,LIQUIDES,EAUX MINERALES / SOURCES,EAUX MINERALES / SOURCES - SS-FAML 3
705,CHARCUTERIE TRAITEUR LS,CHARCUTERIE LS ET SALAISON,CHARCUTERIE LS ET SALAISON - SS-FAML 5
589,EPICERIE SALEE,PRODUITS SALES APERITIFS,PRODUITS SALES APERITIFS - SS-FAML 5
1260,LIQUIDES,BIERES ET CIDRES,BIERES ET CIDRES - SS-FAML 3
1619,EPICERIE SUCREE,CHOCOLATS TABLETTE,CHOCOLATS TABLETTE - SS-FAML 3
978,EPICERIE SALEE,CONSERVES DE LEGUMES,CONSERVES DE LEGUMES - SS-FAML 4
927,CREMERIE LS,LAIT LS,LAIT LS - SS-FAML 2
1791,EPICERIE SALEE,CONDIMENTS ET SAUCES FROIDES,CONDIMENTS ET SAUCES FROIDES - SS-FAML 4
859,CHARCUTERIE TRAITEUR LS,CHARCUTERIE LS ET SALAISON,CHARCUTERIE LS ET SALAISON - SS-FAML 2
717,EPICERIE SALEE,CONSERVES DE LEGUMES,CONSERVES DE LEGUMES - SS-FAML 9
486,CREMERIE LS,FROMAGE LS,FROMAGE LS - SS-FAML 2
2184,EPICERIE SUCREE,ALIMENTATION POUR BEBE,ALIMENTATION POUR BEBE - SS-FAML 10
2407,D.P.H.,DENTAIRE,DENTAIRE - SS-FAML 1
2137,D.P.H.,LAVAGE DU LINGE,LAVAGE DU LINGE - SS-FAML 3
2308,D.P.H.,HOMME,HOMME - SS-FAML 1
2155,EPICERIE SUCREE,CONFIT-COMPOTE FRUITS AU SIROP,CONFIT-COMPOTE FRUITS AU SIROP - SS-FAML 2
416,LIQUIDES,JUS DE FRUITS,JUS DE FRUITS - SS-FAML 1
1392,CREMERIE LS,ULTRA FRAIS,ULTRA FRAIS - SS-FAML 1
1754,BAZAR LEGER,AMPOULES,AMPOULES - SS-FAML 2
2172,EPICERIE SUCREE,CONFIT-COMPOTE FRUITS AU SIROP,CONFIT-COMPOTE FRUITS AU SIROP - SS-FAML 2
491,PAIN PAT LS INDUS,VIENNOISERIE LS INDUS,VIENNOISERIE LS INDUS - SS-FAML 1
2367,D.P.H.,LAVAGE DU LINGE,LAVAGE DU LINGE - SS-FAML 1
846,CHARCUTERIE TRAITEUR LS,TRAITEUR LS,TRAITEUR LS - SS-FAML 5
895,SAURISSERIE,TRAITEUR DE LA MER LS IND,TRAITEUR DE LA MER LS IND - SS-FAML 4
2280,BAZAR LEGER,BROSSERIE/GANTS/TAPIS,BROSSERIE/GANTS/TAPIS - SS-FAML 1
1805,EPICERIE SUCREE,DIETETIQUE,DIETETIQUE - SS-FAML 3
64,EPICERIE SALEE,CONSERVES DE POISSONS,CONSERVES DE POISSONS - SS-FAML 2
325,CREMERIE LS,ULTRA FRAIS,ULTRA FRAIS - SS-FAML 2
2086,LIQUIDES,FONTAINE A VIN,FONTAINE A VIN - SS-FAML 1
1360,EPICERIE SUCREE,BISCUITERIE,BISCUITERIE - SS-FAML 9
483,LIQUIDES,EAUX MINERALES / SOURCES,EAUX MINERALES / SOURCES - SS-FAML 1
1663,SURGELES,SURGELES SUCRE,SURGELES SUCRE - SS-FAML 4
2250,EPICERIE SUCREE,CAFES / CHICOREE,CAFES / CHICOREE - SS-FAML 3
854,EPICERIE SUCREE,CONFIT-COMPOTE FRUITS AU SIROP,CONFIT-COMPOTE FRUITS AU SIROP - SS-FAML 3
1699,CHARCUTERIE TRAITEUR LS,TRAITEUR LS,TRAITEUR LS - SS-FAML 9
1168,BAZAR LEGER,PAPIERS,PAPIERS - SS-FAML 5
84,CREMERIE LS,ULTRA FRAIS,ULTRA FRAIS - SS-FAML 2
2278,EPICERIE SALEE,RIZ PUREE COUSCOUS  LEG SEC,RIZ PUREE COUSCOUS  LEG SEC - SS-FAML 2
1959,EPICERIE SUCREE,DEVANT DE CAISSE (DDC),DEVANT DE CAISSE (DDC) - SS-FAML 2
1236,EPICERIE SUCREE,CONFIT-COMPOTE FRUITS AU SIROP,CONFIT-COMPOTE FRUITS AU SIROP - SS-FAML 2
1284,FRUITS ET LEGUMES,F/L RAYON REFRIGERE,F/L RAYON REFRIGERE
2409,D.P.H.,HOMME,HOMME - SS-FAML 4
2261,LIQUIDES,EAUX MINERALES / SOURCES,EAUX MINERALES / SOURCES - SS-FAML 1
1449,CREMERIE LS,FROMAGE LS,FROMAGE LS - SS-FAML 2
1310,EPICERIE SALEE,PRODUITS SALES APERITIFS,PRODUITS SALES APERITIFS - SS-FAML 1
624,EPICERIE SALEE,SAUCES PATES ET RIZ / COULIS,SAUCES PATES ET RIZ / COULIS - SS-FAML 1
294,FRUITS ET LEGUMES,F/L RAYON REFRIGERE,F/L RAYON REFRIGERE
1050,EPICERIE SUCREE,CAFES / CHICOREE,CAFES / CHICOREE - SS-FAML 5
1135,CHARCUTERIE TRAITEUR LS,TRAITEUR LS,TRAITEUR LS - SS-FAML 7
1719,ALIMENTATION POUR ANIMAUX,ALIMENTS POUR CHATS,ALIMENTS POUR CHATS - SS-FAML 2
560,SURGELES,SURGELES TRAITEUR,SURGELES TRAITEUR - SS-FAML 5
2370,D.P.H.,CAPILLAIRE HORS HOMME,CAPILLAIRE HORS HOMME - SS-FAML 2
580,CREMERIE LS,FROMAGE LS,FROMAGE LS - SS-FAML 4
1308,D.P.H.,CAPILLAIRE HORS HOMME,CAPILLAIRE HORS HOMME - SS-FAML 1
2489,BAZAR LEGER,EQUIPEMENT ACC AUTO,EQUIPEMENT ACC AUTO - SS-FAML 1
755,CREMERIE LS,MARGARINE/PATE A TARTINER,MARGARINE/PATE A TARTINER
1037,LIQUIDES,EAUX MINERALES / SOURCES,EAUX MINERALES / SOURCES - SS-FAML 2
243,EPICERIE SALEE,SAUCES PATES ET RIZ / COULIS,SAUCES PATES ET RIZ / COULIS - SS-FAML 1
2079,SURGELES,SURGELES SUCRE,SURGELES SUCRE - SS-FAML 3
2333,EPICERIE SUCREE,PETIT DEJEUNER/CACAO/CHOCOLAT,PETIT DEJEUNER/CACAO/CHOCOLAT - SS-FAML 2
2148,BAZAR LEGER,VAISSELLE A JETER,VAISSELLE A JETER - SS-FAML 2
1351,EPICERIE SALEE,PATES ALIMENTAIRES,PATES ALIMENTAIRES - SS-FAML 1
2424,BAZAR LEGER,BROSSERIE/GANTS/TAPIS,BROSSERIE/GANTS/TAPIS - SS-FAML 3
509,CREMERIE LS,FROMAGE LS,FROMAGE LS - SS-FAML 2
609,EPICERIE SUCREE,CAFES / CHICOREE,CAFES / CHICOREE - SS-FAML 7
324,EPICERIE SALEE,SELS,SELS - SS-FAML 1
1385,CREMERIE LS,LAIT LS,LAIT LS - SS-FAML 2
2276,EPICERIE SUCREE,ALIMENTATION POUR BEBE,ALIMENTATION POUR BEBE - SS-FAML 8
1263,SURGELES,SURGELES LEGUMES,SURGELES LEGUMES - SS-FAML 1
2231,BAZAR LEGER,ECRIRE COLLER CORRIGER,ECRIRE COLLER CORRIGER - SS-FAML 1
727,LIQUIDES,VINS SUPERIEURS ET VINS FINS,VINS SUPERIEURS ET VINS FINS - SS-FAML 14
1809,D.P.H.,DENTAIRE,DENTAIRE - SS-FAML 2
1243,EPICERIE SALEE,HUILES,HUILES - SS-FAML 3
1828,SURGELES,SURGELES SUCRE,SURGELES SUCRE - SS-FAML 3
1071,EPICERIE SALEE,CONSERVES DE POISSONS,CONSERVES DE POISSONS - SS-FAML 2
2065,EPICERIE SALEE,SOLUTION CULINAIRE,SOLUTION CULINAIRE - SS-FAML 2
1563,D.P.H.,HYGIENE FEMININE,HYGIENE FEMININE - SS-FAML 2
75,EPICERIE SUCREE,CONFIT-COMPOTE FRUITS AU SIROP,CONFIT-COMPOTE FRUITS AU SIROP - SS-FAML 8
855,LIQUIDES,BOISSON AROMATISEE,BOISSON AROMATISEE
227,CREMERIE LS,FROMAGE LS,FROMAGE LS - SS-FAML 5
1354,D.P.H.,ENTRETIEN,ENTRETIEN - SS-FAML 2
2154,LIQUIDES,APERITIFS ALCOOLS,APERITIFS ALCOOLS - SS-FAML 2
1937,EPICERIE SALEE,POTAGES,POTAGES - SS-FAML 2
2384,D.P.H.,HOMME,HOMME - SS-FAML 1
2258,D.P.H.,ENTRETIEN,ENTRETIEN - SS-FAML 9
1102,LIQUIDES,VINS SUPERIEURS ET VINS FINS,VINS SUPERIEURS ET VINS FINS - SS-FAML 7
